fecha,teu_movilizados,tiempo_espera_h,buques_en_puerto,clima_codigo,turno
2020-01-01,9588,3.2248972450946667,3,2,Diurno
2020-01-02,19230,7.202280628725819,2,0,Mixto
2020-01-03,17487,8.670887101803311,11,1,Nocturno
2020-01-04,3459,12.746659856194515,4,2,Diurno
2020-01-05,16993,4.042858288692111,3,2,Diurno
2020-01-06,15096,11.572906837815633,9,2,Nocturno
2020-01-07,19640,10.717547405067107,6,2,Diurno
2020-01-08,4228,9.883265063285233,8,2,Diurno
2020-01-09,16990,5.750853764656777,3,1,Diurno
2020-01-10,9439,5.451907486546713,9,1,Nocturno
2020-01-11,3645,11.625140329960363,2,1,Mixto
2020-01-12,13396,4.843479663366114,5,2,Diurno
2020-01-13,7526,5.616061135689451,8,2,Nocturno
2020-01-14,16846,14.512684896674198,2,2,Nocturno
2020-01-15,19996,14.978501223461805,4,0,Mixto
2020-01-16,9657,1.0239770807669728,4,1,Diurno
2020-01-17,7355,10.61469676380191,6,0,Nocturno
2020-01-18,19342,8.497007036982478,4,2,Diurno
2020-01-19,4684,7.4423853377471305,5,0,Diurno
2020-01-20,12753,4.859185845206989,7,0,Nocturno
2020-01-21,10069,8.100116659063238,5,1,Mixto
2020-01-22,9816,7.392053867291397,2,1,Nocturno
2020-01-23,3595,6.618355780078391,8,1,Diurno
2020-01-24,17790,12.897434131691677,9,2,Mixto
2020-01-25,19669,4.78903373779383,8,0,Nocturno
2020-01-26,3106,9.364664828164692,6,0,Diurno
2020-01-27,19184,13.09900997919921,8,1,Diurno
2020-01-28,6079,14.706021586684084,8,0,Nocturno
2020-01-29,17224,9.438523730135826,2,0,Mixto
2020-01-30,18451,8.280508477951592,9,2,Nocturno
2020-01-31,14784,12.767209525853456,10,0,Diurno
2020-02-01,7907,3.638252495494135,2,1,Diurno
2020-02-02,9371,9.820220203562364,11,1,Nocturno
2020-02-03,6081,1.8984917348162074,2,0,Nocturno
2020-02-04,10648,10.240258818011228,4,1,Mixto
2020-02-05,8453,12.141329167808523,9,1,Diurno
2020-02-06,3032,1.8821547186493837,10,0,Diurno
2020-02-07,10669,12.877888144664306,3,0,Nocturno
2020-02-08,10718,2.727026316487666,2,0,Diurno
2020-02-09,7607,3.461671803696414,11,1,Diurno
2020-02-10,9327,12.70964950168058,5,2,Nocturno
2020-02-11,9577,2.7458284647021847,3,2,Nocturno
2020-02-12,13858,10.433973003705821,10,0,Diurno
2020-02-13,3411,5.127400023328127,10,1,Mixto
2020-02-14,6943,4.477110860820337,6,1,Nocturno
2020-02-15,16412,10.102163324592775,6,0,Nocturno
2020-02-16,15383,2.494663129015808,10,2,Mixto
2020-02-17,18171,9.044713661206014,8,0,Diurno
2020-02-18,16666,13.94331628261887,3,1,Diurno
2020-02-19,11970,12.919716473761245,7,1,Mixto
2020-02-20,15822,12.915614675794021,7,2,Mixto
2020-02-21,11878,5.240929521694565,11,0,Mixto
2020-02-22,3059,10.817958154235919,2,2,Nocturno
2020-02-23,9050,11.92151405130286,3,2,Nocturno
2020-02-24,7560,13.619662892117912,3,0,Nocturno
2020-02-25,3816,4.697860511044086,2,1,Mixto
2020-02-26,13707,11.65204534833212,7,2,Mixto
2020-02-27,4386,4.2518393149174205,4,0,Diurno
2020-02-28,18217,1.389076972547456,10,2,Mixto
2020-02-29,16343,7.745684672608855,9,1,Diurno
2020-03-01,11357,11.722492885965334,8,1,Nocturno
2020-03-02,13285,4.001173502646621,6,0,Diurno
2020-03-03,19836,1.6803298931976458,4,1,Mixto
2020-03-04,3671,6.233066451616786,8,0,Nocturno
2020-03-05,5446,3.84028516946461,7,0,Diurno
2020-03-06,12032,6.349211580364584,3,0,Diurno
2020-03-07,18428,13.891646661610379,6,1,Diurno
2020-03-08,10956,11.414617868824788,6,0,Diurno
2020-03-09,15994,6.221216725588502,4,0,Nocturno
2020-03-10,13397,5.550689704876984,3,2,Nocturno
2020-03-11,11061,13.896723932262928,3,1,Mixto
2020-03-12,7823,13.443814075012105,6,0,Nocturno
2020-03-13,3179,9.457224688501954,2,2,Mixto
2020-03-14,18527,6.006226210521412,7,0,Mixto
2020-03-15,10321,12.092681978691186,10,2,Nocturno
2020-03-16,11503,10.29226991554612,2,2,Mixto
2020-03-17,10296,8.905385189811808,4,2,Nocturno
2020-03-18,9995,11.339763242974321,11,1,Diurno
2020-03-19,7277,2.8825248866273006,6,0,Mixto
2020-03-20,15618,14.022078563078704,4,1,Nocturno
2020-03-21,8011,14.620891677158522,3,1,Diurno
2020-03-22,9403,5.962288831908066,4,2,Mixto
2020-03-23,7005,14.255201842770918,8,2,Diurno
2020-03-24,9317,12.14163622427705,8,0,Diurno
2020-03-25,5979,14.174418016323338,6,2,Diurno
2020-03-26,16164,13.844416549958876,3,1,Nocturno
2020-03-27,5837,3.8126266683246026,2,0,Diurno
2020-03-28,8009,4.640365593805956,4,1,Diurno
2020-03-29,9020,4.648316970506068,8,1,Diurno
2020-03-30,3477,2.3201617275009996,2,2,Diurno
2020-03-31,11102,6.567631047424323,8,1,Diurno
2020-04-01,16811,6.07670557696447,7,2,Mixto
2020-04-02,10956,5.815463191486571,5,1,Diurno
2020-04-03,8578,5.885231425303466,11,2,Mixto
2020-04-04,12538,1.8689891131539191,7,0,Mixto
2020-04-05,19859,3.603653138128601,5,2,Mixto
2020-04-06,8342,5.1427224655169095,6,2,Diurno
2020-04-07,4893,13.445687539669866,4,2,Diurno
2020-04-08,10653,13.971410512916272,11,2,Diurno
2020-04-09,14493,4.992932730932843,10,1,Mixto
2020-04-10,3512,10.718223982968162,2,0,Diurno
2020-04-11,14615,12.908710086950984,8,0,Nocturno
2020-04-12,8351,8.086452454651155,6,0,Nocturno
2020-04-13,11386,11.577609937167296,10,1,Mixto
2020-04-14,15483,14.662135172334766,3,2,Nocturno
2020-04-15,7734,3.270997722511528,7,1,Nocturno
2020-04-16,8840,1.985866223544501,4,2,Diurno
2020-04-17,16020,9.960327574781912,5,1,Nocturno
2020-04-18,14629,8.118744359879356,5,2,Mixto
2020-04-19,14515,5.1524511336692385,3,0,Diurno
2020-04-20,11753,13.83221635453339,2,0,Nocturno
2020-04-21,3535,12.841593877938868,4,0,Diurno
2020-04-22,7161,4.701618867644323,11,0,Nocturno
2020-04-23,12611,11.838707193749114,9,0,Diurno
2020-04-24,8836,12.597663207871864,4,0,Nocturno
2020-04-25,7617,5.554612876805123,2,1,Diurno
2020-04-26,19092,2.3880894527636904,5,0,Mixto
2020-04-27,5412,12.905858249643252,10,2,Nocturno
2020-04-28,7181,2.355035739915934,7,0,Mixto
2020-04-29,13424,7.70051152446432,10,0,Nocturno
2020-04-30,11985,3.721108603340123,2,2,Mixto
2020-05-01,7629,13.984463287955709,2,0,Diurno
2020-05-02,15489,2.4996747899901512,7,1,Nocturno
2020-05-03,14254,2.6366095110541155,4,1,Diurno
2020-05-04,3021,10.824214707720941,9,2,Nocturno
2020-05-05,18898,3.877781117518672,5,0,Nocturno
2020-05-06,12304,2.8530553322437995,10,2,Mixto
2020-05-07,19405,3.354697919482283,7,0,Nocturno
2020-05-08,4928,9.342548783498042,3,0,Mixto
2020-05-09,14948,4.116762392143889,2,0,Nocturno
2020-05-10,17493,6.281338703049548,11,2,Nocturno
2020-05-11,9584,12.89628268071686,3,1,Nocturno
2020-05-12,12845,3.459414027070776,2,0,Mixto
2020-05-13,14791,12.567883350387405,9,2,Mixto
2020-05-14,8786,11.855618602743228,3,1,Mixto
2020-05-15,10577,12.63646565454971,10,2,Diurno
2020-05-16,9162,5.858242356810552,10,2,Nocturno
2020-05-17,17798,7.613070662782538,10,1,Diurno
2020-05-18,12357,10.898083708085297,11,1,Mixto
2020-05-19,7464,1.5239813839505585,7,1,Diurno
2020-05-20,4670,10.292672116277313,9,2,Nocturno
2020-05-21,12325,2.681330754220463,11,0,Mixto
2020-05-22,19601,5.033038313611854,4,0,Nocturno
2020-05-23,7873,12.336979279504622,10,0,Mixto
2020-05-24,14771,9.895375479616664,10,2,Diurno
2020-05-25,6117,9.705994597950465,11,1,Mixto
2020-05-26,6158,4.176783286877379,6,2,Mixto
2020-05-27,19073,10.350284777098805,10,0,Mixto
2020-05-28,5329,2.8438173102505075,11,0,Mixto
2020-05-29,6829,14.507124356090578,9,0,Nocturno
2020-05-30,4026,4.537752624521824,8,1,Diurno
2020-05-31,14880,12.574469810347978,11,1,Nocturno
2020-06-01,8148,13.88211838068669,5,0,Diurno
2020-06-02,14652,3.4050860900505158,6,0,Diurno
2020-06-03,10167,1.136491864218883,2,0,Nocturno
2020-06-04,14076,13.240128394951958,6,0,Nocturno
2020-06-05,9286,11.695808220257629,3,2,Nocturno
2020-06-06,17937,3.159771583097055,2,0,Diurno
2020-06-07,12497,12.62528617151001,3,2,Diurno
2020-06-08,14299,12.346576193392995,9,0,Nocturno
2020-06-09,4881,7.457837973975961,7,0,Mixto
2020-06-10,12969,14.255527553891115,7,1,Mixto
2020-06-11,14548,9.149530200509664,10,2,Mixto
2020-06-12,3533,7.200321089112382,3,0,Diurno
2020-06-13,11893,1.1852955012069182,2,1,Diurno
2020-06-14,19320,14.338886907021951,6,0,Mixto
2020-06-15,14053,2.797160292281396,5,2,Mixto
2020-06-16,5302,5.146638811604738,5,1,Nocturno
