mmsi,timestamp,lat,lon,velocidad_kn,rumbo,tipo_buque
355123,2024-01-01 00:00:00,50.0,-79.60910854697488,,117,Tanker
371987,2024-01-01 00:02:00,9.164302577251608,-79.2859110798566,11.127609462754867,137,Other
311009,2024-01-01 00:04:00,9.421910448495616,-79.26048747208243,7.465994132200836,163,Cargo
311009,2024-01-01 00:06:00,7.055791392638813,-78.18989682292992,4.122023188839488,130,Cargo
211888,2024-01-01 00:08:00,7.069674428439176,-77.83972574861832,9.211981573671842,71,Passenger
355123,2024-01-01 00:10:00,8.486055747341869,-79.0730115413341,11.526159177773794,332,Passenger
344555,2024-01-01 00:12:00,9.385613376507983,-79.53134145978386,10.558877535998976,175,Cargo
311009,2024-01-01 00:14:00,8.214207681615864,-78.31820604322957,12.55461095971159,111,Other
311009,2024-01-01 00:16:00,9.099448909857534,-77.78406622188744,14.00280633421668,65,Other
371987,2024-01-01 00:18:00,8.919769382797483,-80.15774476490525,13.453053275539851,130,Passenger
311009,2024-01-01 00:20:00,8.245630684964567,-78.10956453706714,11.764821329728305,62,Passenger
211888,2024-01-01 00:22:00,8.282930819180548,-78.82848453101614,13.284732137244102,14,Passenger
355123,2024-01-01 00:24:00,8.090083531493708,-77.8971846818427,6.196070354724303,129,Cargo
355123,2024-01-01 00:26:00,7.630496812571538,-78.95768517929002,6.881092204842241,144,Cargo
311009,2024-01-01 00:28:00,9.146780671125907,-77.91227264195214,7.559823139065321,266,Tanker
344555,2024-01-01 00:30:00,7.523925344339606,-78.83654796845796,12.045994144625963,260,Other
211888,2024-01-01 00:32:00,9.2673013750439,-80.06535321373178,15.322673311730352,325,Passenger
311009,2024-01-01 00:34:00,7.89931902402126,-80.48516268721248,18.60301724377973,322,Cargo
211888,2024-01-01 00:36:00,7.066243266210327,-78.6399587869107,13.647526444880668,278,Passenger
344555,2024-01-01 00:38:00,7.420945068541965,-78.72366567516411,5.461538516324659,95,Tanker
211888,2024-01-01 00:40:00,9.21956191083729,-79.86932842618907,13.26385072236033,62,Other
211888,2024-01-01 00:42:00,7.321111355461859,-77.94810520882311,15.11125775795425,238,Other
211888,2024-01-01 00:44:00,8.846934176699893,-77.89671922904418,9.896224685009289,28,Tanker
355123,2024-01-01 00:46:00,7.457034272190348,-78.08746437116734,10.73171772055291,144,Other
344555,2024-01-01 00:48:00,8.247332240916531,-77.69023990970432,15.634137056492103,162,Other
355123,2024-01-01 00:50:00,7.513017526796849,-78.98001015018194,11.385249286485454,175,Tanker
371987,2024-01-01 00:52:00,7.8329135944209325,-78.39308056918304,12.398364738872607,340,Tanker
